Census year,Add,Shop,Seating type,Number of seats
2021,Part Building 872 Grant Street Theatre 234 St Kilda Road SOUTHBANK VIC 3006,Lionel Gell Lounge,Seats - Outdoor,14
2021,Part Ground 100 St Kilda Road SOUTHBANK VIC 3006,Bombini Buzz,Seats - Indoor,30
2021,Adjacent Kiosk 100 St Kilda Road SOUTHBANK VIC 3006,Protagonist,Seats - Outdoor,68
2021,Part Level 1 180 St Kilda Road SOUTHBANK VIC 3006,The Tea Room,Seats - Indoor,80
2021,Part Podium 1 Southgate Avenue SOUTHBANK VIC 3006,Melba Restaurant,Seats - Indoor,220
2021,"Restaurant 2, Upper Lvl 3 Southgate Avenue SOUTHBANK VIC 3006",Miyako Japanese Cuisine & Teppanyaki,Seats - Outdoor,40
2021,"Shop 24-28, Mid Lvl 3 Southgate Avenue SOUTHBANK VIC 3006",Tutto Bene,Seats - Indoor,35
2021,"Shop 17, Podium 3 Southgate Avenue SOUTHBANK VIC 3006",Espresso Bar International,Seats - Indoor,65
2021,"Restaurant 1, Upper Lvl 3 Southgate Avenue SOUTHBANK VIC 3006",Commune Wine,Seats - Indoor,50
2021,"Shop 1-2, Upper Lvl 3 Southgate Avenue SOUTHBANK VIC 3006",The Deck,Seats - Indoor,30
2021,"Restaurant 5, Mid Lvl 3 Southgate Avenue SOUTHBANK VIC 3006",Hophaus,Seats - Outdoor,120
2021,"Restaurant 5, Mid Lvl 3 Southgate Avenue SOUTHBANK VIC 3006",Hophaus,Seats - Indoor,140
2021,"Shop 20, Ground 3 Southgate Avenue SOUTHBANK VIC 3006",Waterfront (Southgate),Seats - Outdoor,188
2021,"Restaurant 3, Upper Lvl 3 Southgate Avenue SOUTHBANK VIC 3006",Bluetrain,Seats - Indoor,180
2021,"Restaurant 3, Upper Lvl 3 Southgate Avenue SOUTHBANK VIC 3006",Bluetrain,Seats - Outdoor,80
2021,"Restaurant 2, Ground 3 Southgate Avenue SOUTHBANK VIC 3006",Pure South Kitchen,Seats - Indoor,250
2021,"Shop 10-12, Mid Lvl 3 3 Southgate Avenue SOUTHBANK VIC 3006",Red Emperor,Seats - Outdoor,50
2021,"Shop 24-28, Mid Lvl 3 Southgate Avenue SOUTHBANK VIC 3006",Tutto Bene,Seats - Outdoor,100
2021,"Restaurant 2, Ground 3 Southgate Avenue SOUTHBANK VIC 3006",Pure South Kitchen,Seats - Outdoor,20
2021,50 River Esplanade DOCKLANDS VIC 3008,Hooks At The Yarra,Seats - Indoor,60
2021,82 River Esplanade DOCKLANDS VIC 3008,18 Pence Lane Coffee & Food,Seats - Outdoor,40
2021,Part 108 River Esplanade DOCKLANDS VIC 3008,The Espressonist,Seats - Outdoor,70
2021,Part 816 Lorimer Street PORT MELBOURNE VIC 3207,Bolte Cafe & Kebab,Seats - Outdoor,24
2021,Part 816 Lorimer Street PORT MELBOURNE VIC 3207,Bolte Cafe & Kebab,Seats - Indoor,52
2021,3 Central Boulevard PORT MELBOURNE VIC 3207,Portside Deli,Seats - Outdoor,8
2021,"Suite 4, Pier 35 263-329 Lorimer Street PORT MELBOURNE VIC 3207",Pier 35 Bar & Grill,Seats - Indoor,90
2021,"Unit 4, 1 Phillip Court PORT MELBOURNE VIC 3207",Degani Bakery Cafe,Seats - Indoor,34
2021,"Unit 5, 1 Phillip Court PORT MELBOURNE VIC 3207",Subway,Seats - Outdoor,12
2021,"Unit 3, 1 Phillip Court PORT MELBOURNE VIC 3207",Ootoro,Seats - Outdoor,30
2021,"Unit 2, 1 Phillip Court PORT MELBOURNE VIC 3207",Black Jack Cafe,Seats - Outdoor,32
2021,"Part Unit 2, 42 Sabre Drive PORT MELBOURNE VIC 3207",Sabre Cafe,Seats - Indoor,56
2021,Part Ground 4 Riverside Quay SOUTHBANK VIC 3006,Thailander Riverside Quay,Seats - Indoor,52
2021,"Shop 4, 4 Riverside Quay SOUTHBANK VIC 3006",Hopscotch,Seats - Indoor,60
2021,Part Ground 4 Riverside Quay SOUTHBANK VIC 3006,Soho Restaurant & Bar,Seats - Outdoor,60
2021,Part Ground 6 Riverside Quay SOUTHBANK VIC 3006,Dagwood Deli,Seats - Indoor,20
2021,Part Ground 6 Riverside Quay SOUTHBANK VIC 3006,Ludlow Bar & Dining Room,Seats - Indoor,300
2021,Part Ground 6 Riverside Quay SOUTHBANK VIC 3006,Asado Bar y Grill,Seats - Indoor,86
2021,Part Rear Ground 1 Southbank Boulevard SOUTHBANK VIC 3006,Old Man Pho,Seats - Indoor,18
2021,Shop Ground 1 Riverside Quay SOUTHBANK VIC 3006,BondStore Cafe,Seats - Indoor,60
2021,"Shop 12R, 3 Freshwater Place SOUTHBANK VIC 3006",Kenny's Bakery Cafe,Seats - Indoor,34
2021,"Shop 11R, 3 Freshwater Place SOUTHBANK VIC 3006",Blossom Espresso,Seats - Outdoor,10
2021,"Shop 11R, 3 Freshwater Place SOUTHBANK VIC 3006",Blossom Espresso,Seats - Indoor,26
2021,Lobby 2 Southbank Boulevard SOUTHBANK VIC 3006,Upstanding Citizens,Seats - Indoor,70
2021,"Tenancy 2, 28 Freshwater Place SOUTHBANK VIC 3006",Powered by Cote Terra,Seats - Indoor,68
2021,"Tenancy 1, Ground 28 Freshwater Place SOUTHBANK VIC 3006",Cote Terra Adicion,Seats - Outdoor,40
2021,"Shop 9, Ground 8 Whiteman Street SOUTHBANK VIC 3006",Rosetta,Seats - Indoor,88
2021,"Shop 86, Ground 8 Whiteman Street SOUTHBANK VIC 3006",The Merrywell,Seats - Indoor,80
2021,"Shop 1, Ground 8 Whiteman Street SOUTHBANK VIC 3006",Rockpool Bar & Grill Melbourne,Seats - Indoor,300
2021,"Shop 11-12, Ground 8 Whiteman Street SOUTHBANK VIC 3006",Ging Thai,Seats - Indoor,100
2021,"Shop 49A, Level 1 8 Whiteman Street SOUTHBANK VIC 3006",San Antone,Seats - Indoor,187
2021,"Shop 27, Ground 8 Whiteman Street SOUTHBANK VIC 3006",Gochi,Seats - Indoor,40
2021,"Shop 10, Ground 8 Whiteman Street SOUTHBANK VIC 3006",Bistro Guillaume,Seats - Indoor,70
2021,"Shop 6, Ground 8 Whiteman Street SOUTHBANK VIC 3006",Nobu,Seats - Indoor,160
2021,"Shop 85, Ground 8 Whiteman Street SOUTHBANK VIC 3006",Kitchen Workshop,Seats - Indoor,260
2021,"Shop 49, Level 1 8 Whiteman Street SOUTHBANK VIC 3006",Degani @ Crown,Seats - Indoor,60
2021,"Shop 7, Ground 8 Whiteman Street SOUTHBANK VIC 3006",Spice Temple,Seats - Indoor,415
2021,Shop TG01 39 Dukes Walk SOUTH WHARF VIC 3006,Common Man,Seats - Outdoor,59
2021,Shop TB105A 20 Convention Centre Place SOUTH WHARF VIC 3006,Oporto,Seats - Indoor,32
2021,Shop TG01 39 Dukes Walk SOUTH WHARF VIC 3006,Common Man,Seats - Indoor,79
2021,Shop FG01 20 Convention Centre Place SOUTH WHARF VIC 3006,Signature Pho Viet,Seats - Indoor,44
2021,Part 2 Convention Centre Place SOUTH WHARF VIC 3006,Café Orr,Seats - Outdoor,8
2021,37 South Wharf Promenade SOUTH WHARF VIC 3006,Plus 5,Seats - Indoor,65
2021,35 South Wharf Promenade SOUTH WHARF VIC 3006,BangPop,Seats - Indoor,142
2021,37 South Wharf Promenade SOUTH WHARF VIC 3006,Plus 5,Seats - Outdoor,80
2021,43 South Wharf Promenade SOUTH WHARF VIC 3006,Charlie Lovett,Seats - Indoor,76
2021,"Shop 101, Level 1 27 Whiteman Street SOUTHBANK VIC 3006",McDonalds,Seats - Indoor,75
2021,"Shop 106, Level 1 27 Whiteman Street SOUTHBANK VIC 3006",Subway,Seats - Indoor,30
2021,Part Ground 207 City Road SOUTHBANK VIC 3006,House of Cards,Seats - Indoor,28
2021,143 City Road SOUTHBANK VIC 3006,Ten BBQ & Hotpot Buffet,Seats - Indoor,110
2021,"Suite 9-11, 89-91 City Road SOUTHBANK VIC 3006",Sopranos,Seats - Indoor,50
2021,Ground 12 Kavanagh Street SOUTHBANK VIC 3006,Saporito Taquito,Seats - Indoor,50
2021,Ground 12 Kavanagh Street SOUTHBANK VIC 3006,Saporito Taquito,Seats - Outdoor,18
2021,Restaurant Old Observatory Building Royal Botanic Gardens Birdwood Avenue MELBOURNE VIC 3004,Jardin Tan,Seats - Outdoor,207
2021,Restaurant Old Observatory Building Royal Botanic Gardens Birdwood Avenue MELBOURNE VIC 3004,Jardin Tan,Seats - Indoor,81
2021,169 Domain Road SOUTH YARRA VIC 3141,Botanical Hotel,Seats - Indoor,150
2021,171 Domain Road SOUTH YARRA VIC 3141,Gilson,Seats - Outdoor,32
2021,181 Domain Road SOUTH YARRA VIC 3141,Domain Brasserie,Seats - Outdoor,24
2021,179 Domain Road SOUTH YARRA VIC 3141,No 179 Domain,Seats - Indoor,21
2021,119 Park Street SOUTH YARRA VIC 3141,Le Derriere by Entrecote,Seats - Indoor,22
2021,Part Baker Medical Research Institute 75 Commercial Road MELBOURNE VIC 3004,My Serendipity Cafe,Seats - Outdoor,12
2021,Part Ground 597 St Kilda Road MELBOURNE VIC 3004,Tradeblock Cafe,Seats - Indoor,30
2021,Part Ground 399 Royal Parade PARKVILLE VIC 3052,Flipboard Cafe Parkville,Seats - Indoor,70
2021,52 Morrah Street PARKVILLE VIC 3052,Parkville Store,Seats - Indoor,30
2021,Part Level 7 305 Grattan Street MELBOURNE VIC 3000,The Loft @ Vccc,Seats - Indoor,70
2021,303 Grattan Street MELBOURNE VIC 3000,Super 8,Seats - Indoor,200
2021,"Shop 1, 20 Flemington Road PARKVILLE VIC 3050",Isabella,Seats - Indoor,80
2021,Part 34-54 Poplar Road PARKVILLE VIC 3052,Poplars,Seats - Indoor,32
2021,Part 34-54 Poplar Road PARKVILLE VIC 3052,Poplars,Seats - Outdoor,10
2021,"Tenancy 3, Ground 50 Flemington Road PARKVILLE VIC 3052",McDonalds Royal Children's Hospital,Seats - Indoor,32
2021,"Tenancy 2, Ground 50 Flemington Road PARKVILLE VIC 3052",Aruba Espresso Cafe,Seats - Indoor,32
2021,"Tenancy A, Ground 50 Flemington Road PARKVILLE VIC 3052",Degani Bakery Cafe,Seats - Indoor,45
2021,Restaurant Melbourne Zoological Gardens Elliott Avenue PARKVILLE VIC 3052,Lakeside Bistro And Function Centre,Seats - Outdoor,240
2021,Restaurant 33 Spencer Street DOCKLANDS VIC 3008,Gaylord Indian Restaurant,Seats - Indoor,150
2021,"Shop 9, Level 1 650 Collins Street DOCKLANDS VIC 3008",Velluto,Seats - Indoor,20
2021,"Shop 3A, Level 1 650 Collins Street DOCKLANDS VIC 3008",Papparich,Seats - Indoor,24
2021,"Unit 1, 198 Harbour Esplanade DOCKLANDS VIC 3008",Melbourne Bay Restaurant,Seats - Outdoor,29
2021,Part Ground 1010 La Trobe Street DOCKLANDS VIC 3008,Coffee N All Customs House,Seats - Indoor,69
2021,"Shop 202, 673 La Trobe Street DOCKLANDS VIC 3008",Yummy Hut,Seats - Indoor,20
2021,Shop 4-5 Concourse 700 Bourke Street DOCKLANDS VIC 3008,Mr Grazier,Seats - Indoor,140
2021,Shop 3 Concourse 700 Bourke Street DOCKLANDS VIC 3008,Story Coffee & Food Store,Seats - Outdoor,12
2021,"Rear Level 4, Concourse 120 Harbour Esplanade DOCKLANDS VIC 3008",Harbour Cafe,Seats - Indoor,64
2021,"Rear Level 4, Concourse 120 Harbour Esplanade DOCKLANDS VIC 3008",Harbour Cafe,Seats - Outdoor,20
2021,Shop 9 Level 4 Concourse 744 Bourke Street DOCKLANDS VIC 3008,Katsu House,Seats - Indoor,28
2021,Shop 10 Level 4 Concourse 744 Bourke Street DOCKLANDS VIC 3008,Pizzarium,Seats - Outdoor,20
2021,79 Batmans Hill Drive DOCKLANDS VIC 3008,Chilli India,Seats - Indoor,70
2021,79 Batmans Hill Drive DOCKLANDS VIC 3008,Chilli India,Seats - Outdoor,40
2021,57 Batmans Hill Drive DOCKLANDS VIC 3008,Pizza Hut Docklands,Seats - Indoor,43
2021,2 Waterview Walk DOCKLANDS VIC 3008,Barlog,Seats - Indoor,30
2021,Part Shop Level 5 700 Collins Street DOCKLANDS VIC 3008,St Brew,Seats - Outdoor,40
2021,"Shop 21, Level 4 717 Bourke Street DOCKLANDS VIC 3008",Asuka Sushi,Seats - Outdoor,18
2021,"Shop 5-6, Ground 717 Bourke Street DOCKLANDS VIC 3008",Cafe Saporo @ Docklands,Seats - Indoor,60
2021,"Shop 1-2, 699 Collins Street DOCKLANDS VIC 3008",Sergy Boy,Seats - Indoor,68
2021,Part Ground 737 Bourke Street DOCKLANDS VIC 3008,Nine Elephants Thai Restaurant,Seats - Outdoor,10
2021,Part Ground 737 Bourke Street DOCKLANDS VIC 3008,The Hof Downtown,Seats - Indoor,153
2021,82 Village Street DOCKLANDS VIC 3008,Platform 28,Seats - Indoor,370
2021,"Tenancy 44, Ground 727 Collins Street DOCKLANDS VIC 3008",Long Shot,Seats - Indoor,50
2021,"Tenancy 42B, LwrGround 18 Batmans Hill Drive DOCKLANDS VIC 3008",Sushi & Nori,Seats - Indoor,24
2021,1 Batmans Hill Drive DOCKLANDS VIC 3008,Cafe La Kiss,Seats - Outdoor,32
2021,1 Batmans Hill Drive DOCKLANDS VIC 3008,Cafe La Kiss,Seats - Indoor,71
2021,Part Ground 107 Victoria Harbour Promenade DOCKLANDS VIC 3008,Pouring for a Purpose,Seats - Indoor,30
2021,107-109 Merchant Street DOCKLANDS VIC 3008,VinTam's Bakery,Seats - Indoor,65
2021,"Shop 1, 818 Bourke Street DOCKLANDS VIC 3008",Squires Loft Dockland,Seats - Indoor,96
2021,"Shop 1, 825 Bourke Street DOCKLANDS VIC 3008",Coffee Gauge,Seats - Outdoor,16
2021,"Shop 1, 825 Bourke Street DOCKLANDS VIC 3008",Coffee Gauge,Seats - Indoor,68
2021,829-831A Bourke Street DOCKLANDS VIC 3008,Tap 831,Seats - Indoor,118
2021,831B Bourke Street DOCKLANDS VIC 3008,Indi Hots Indian Restaurant,Seats - Indoor,30
2021,"Shop 7-8, 801 Bourke Street DOCKLANDS VIC 3008",Pok Pok,Seats - Outdoor,15
2021,817 Bourke Street DOCKLANDS VIC 3008,Tsukino Snizuku,Seats - Indoor,20
2021,"Shop 18C, 833 Collins Street DOCKLANDS VIC 3008",Elements Cafe,Seats - Indoor,128
2021,Part 131-141 Harbour Esplanade DOCKLANDS VIC 3008,Off With The Ferries,Seats - Indoor,20
2021,"Shop 1, Ground 800 Collins Street DOCKLANDS VIC 3008",Spicy Kitchen Docklands,Seats - Indoor,72
2021,"Shop 2, Ground 800 Collins Street DOCKLANDS VIC 3008",A25 Pizzeria,Seats - Outdoor,12
2021,"Shop 2, Ground 800 Collins Street DOCKLANDS VIC 3008",A25 Pizzeria,Seats - Indoor,72
2021,"Shop 8, 838 Collins Street DOCKLANDS VIC 3008",O-Bento,Seats - Outdoor,26
2021,2-4 Import Lane DOCKLANDS VIC 3008,Chia Chia,Seats - Indoor,44
2021,892 Bourke Street DOCKLANDS VIC 3008,Saluministi,Seats - Outdoor,12
2021,809 Bourke Street DOCKLANDS VIC 3008,Cafenatics Forte,Seats - Indoor,24
2021,"Shop G1, 839 Collins Street DOCKLANDS VIC 3008",The Other Brother,Seats - Indoor,112
2021,"Tenancy 1, 859 Collins Street DOCKLANDS VIC 3008",Nourish-D,Seats - Outdoor,8
2021,"Tenancy 2, 855 Collins Street DOCKLANDS VIC 3008",Chilangos Mexican Cantina Docklands,Seats - Outdoor,15
2021,"Tenancy 2, 855 Collins Street DOCKLANDS VIC 3008",Chilangos Mexican Cantina Docklands,Seats - Indoor,59
2021,"Tenancy 7, 46 Newquay Promenade DOCKLANDS VIC 3008",Renzo's Bar Cafe Italiano,Seats - Indoor,90
2021,"Tenancy 4-5, 54 Newquay Promenade DOCKLANDS VIC 3008",Bhoj On Docklands,Seats - Indoor,110
2021,"Tenancy 4-5, 54 Newquay Promenade DOCKLANDS VIC 3008",Bhoj On Docklands,Seats - Outdoor,80
2021,28 Newquay Promenade DOCKLANDS VIC 3008,Solidaire Victoria,Seats - Outdoor,60
2021,43 Caravel Lane DOCKLANDS VIC 3008,B Club Cafe,Seats - Outdoor,18
2021,62 Newquay Promenade DOCKLANDS VIC 3008,Sir Basil Café & Restaurant,Seats - Outdoor,60
2021,66 Newquay Promenade DOCKLANDS VIC 3008,Steakhouse Grill 66,Seats - Indoor,100
2021,"Restaurant 1, 45 Newquay Promenade DOCKLANDS VIC 3008",Berth,Seats - Outdoor,110
2021,55A Newquay Promenade DOCKLANDS VIC 3008,Cargo,Seats - Indoor,80
2021,Part 12-16 Newquay Promenade DOCKLANDS VIC 3008,Docklands Lotus Restaurant,Seats - Outdoor,30
2021,Part 12-16 Newquay Promenade DOCKLANDS VIC 3008,Docklands Lotus Restaurant,Seats - Indoor,125
2021,106 Newquay Promenade DOCKLANDS VIC 3008,Almina @ Docklands,Seats - Indoor,150
2021,9 Rakaia Way DOCKLANDS VIC 3008,Aim Thai,Seats - Indoor,36
2021,42 Caravel Lane DOCKLANDS VIC 3008,Evergreen Cafe And Pizzeria,Seats - Indoor,20
2021,28 Aquitania Way DOCKLANDS VIC 3008,Capri Cafe & Lounge,Seats - Outdoor,12
2021,Shop G04 7 Star Circus DOCKLANDS VIC 3008,Gozleme King,Seats - Indoor,26
2021,Level 1 14 Star Circus DOCKLANDS VIC 3008,Dohtonbori,Seats - Outdoor,18
2021,Ground 10 Star Circus DOCKLANDS VIC 3008,DOSA HUT,Seats - Indoor,24
2021,Ground 11 Star Circus DOCKLANDS VIC 3008,san churro docklands,Seats - Indoor,45
2021,Ground 37 Star Crescent DOCKLANDS VIC 3008,Miss Pings Thai Eatery,Seats - Indoor,32
2021,Shop G02 4 Star Circus DOCKLANDS VIC 3008,Old Man Pho,Seats - Outdoor,36
2021,Shop G02 4 Star Circus DOCKLANDS VIC 3008,Old Man Pho,Seats - Indoor,10
2021,Ground 3 Star Circus DOCKLANDS VIC 3008,The Coffee Club,Seats - Indoor,50
2021,Lobby 380 Docklands Drive DOCKLANDS VIC 3008,Cafe Bourgeois,Seats - Indoor,50
2021,Lobby 380 Docklands Drive DOCKLANDS VIC 3008,Cafe Bourgeois,Seats - Outdoor,16
2021,"Shop 15, Ground 120 Pearl River Road DOCKLANDS VIC 3008",Fukutontei Ramen,Seats - Outdoor,36
2021,"Shop 5, Level 1 120 Pearl River Road DOCKLANDS VIC 3008",The Pancake Parlour,Seats - Indoor,163
2021,"Part Shop 16, Ground 120 Pearl River Road DOCKLANDS VIC 3008",8 Street Docklands,Seats - Indoor,40
2021,"Unit 15, Ground 60 Siddeley Street DOCKLANDS VIC 3008",Perso,Seats - Outdoor,24
2021,"Unit 16, Ground 60 Siddeley Street DOCKLANDS VIC 3008",Bababoi,Seats - Outdoor,16
2021,"Unit 14, Ground 60 Siddeley Street DOCKLANDS VIC 3008",Hanoi Square,Seats - Outdoor,30
2021,"Part Unit 13, Ground 60 Siddeley Street DOCKLANDS VIC 3008",Them Authentic Vietnamese Cuisine & Rolls,Seats - Outdoor,34
2021,31 Melrose Street NORTH MELBOURNE VIC 3051,Cafe Innov-8,Seats - Indoor,18
2021,524 Macaulay Road KENSINGTON VIC 3031,Melba Social,Seats - Indoor,80
2021,520 Macaulay Road KENSINGTON VIC 3031,Kensington food hall,Seats - Indoor,54
2021,512 Macaulay Road KENSINGTON VIC 3031,Argi,Seats - Outdoor,4
2021,176 Bellair Street KENSINGTON VIC 3031,White Rabbit Record Bar,Seats - Indoor,35
2021,61 Stubbs Street KENSINGTON VIC 3031,Cheeky Brothers,Seats - Outdoor,8
2021,173 Rankins Road KENSINGTON VIC 3031,Luncheonette Cafe,Seats - Indoor,12
2002,"Tenancy 8, 2 Swanston Street MELBOURNE 3000",Time Out,Seats - Indoor,40
2002,"Tenancy 3, 2 Swanston Street MELBOURNE 3000",Rowlands Catering,Seats - Indoor,40
2002,"Ground , 485 Flinders Lane MELBOURNE 3000",Cafe Rema,Seats - Indoor,124
2002,"Ground , 485 Flinders Lane MELBOURNE 3000",Cafe Rema,Seats - Outdoor,18
2002,490 Flinders Street MELBOURNE 3000,Florin Deli,Seats - Indoor,110
2002,"Shop 2, Ground , 474 Flinders Street MELBOURNE 3000",Riverside Deli & Coffee House,Seats - Indoor,54
2002,"Part Ground & Floor 1, 452 Flinders Street MELBOURNE 3000",Caffe Masters,Seats - Outdoor,70
2002,10 King Street MELBOURNE 3000,Monkey Bar,Seats - Indoor,32
2002,"Part Ground , 389 Market Street MELBOURNE 3000",Kourys Coffee Lounge,Seats - Indoor,43
2002,"Part Ground , 389 Market Street MELBOURNE 3000",Kourys Coffee Lounge,Seats - Outdoor,25
2002,"Basement , 9 Queen Street MELBOURNE 3000",Nirankar,Seats - Indoor,120
2002,"Part Ground , 22 William Street MELBOURNE 3000",Cafe 22,Seats - Outdoor,4
2002,11-15 Elizabeth Street MELBOURNE 3000,McDonald's,Seats - Indoor,130
2002,"Shop 5, 35 Elizabeth Street MELBOURNE 3000",Flinders Fine Foods,Seats - Indoor,65
2002,"Part Ground , 335 Flinders Lane MELBOURNE 3000",Il Valentino,Seats - Indoor,53
2002,"Ground , 353 Flinders Lane MELBOURNE 3000",Cafe Millenuim,Seats - Indoor,45
2002,"Shop 1, Ground , 300 Flinders Street MELBOURNE 3000",Buffet Brasserie,Seats - Indoor,82
2002,"Shop 1, Ground , 300 Flinders Street MELBOURNE 3000",Buffet Brasserie,Seats - Outdoor,20
2002,"Ground , 359 Queen Street MELBOURNE 3000",Hudsons Coffee,Seats - Outdoor,16
2002,"Shop 2, 34 Queen Street MELBOURNE 3000",The Window Cafe,Seats - Indoor,42
2002,"Shop 2, 34 Queen Street MELBOURNE 3000",The Window Cafe,Seats - Outdoor,14
2002,36-38 Flinders Lane MELBOURNE 3000,Cafe Adimo,Seats - Outdoor,25
2002,238A Flinders Street MELBOURNE 3000,Formosa Place,Seats - Indoor,77
2002,"Basement 1, 228-236 Flinders Street MELBOURNE 3000",Kim Sing Chinese Restaurant,Seats - Indoor,100
2002,"Shop 8, 228 Flinders Street MELBOURNE 3000",Richards Coffee Lounge,Seats - Indoor,28
2002,"Gnd & Flr1 , 15 Swanston Street MELBOURNE 3000",Burger King Australia Pty Limited,Seats - Indoor,185
2002,"Gnd & Flr1 , 15 Swanston Street MELBOURNE 3000",Burger King Australia Pty Limited,Seats - Outdoor,22
2002,"Shop 3, Ground , 37 Swanston Street MELBOURNE 3000",Subway Sandwich,Seats - Outdoor,30
2002,"Basement 0, 187-0 Flinders Lane MELBOURNE 3000",Ezard At Adelphi,Seats - Indoor,75
2002,"Shop 5, 1 Flinders Street MELBOURNE 3000",Da Marconi Restaurant,Seats - Indoor,70
2002,"Shop 4, 164 Flinders Street MELBOURNE 3000",Interval Coffee Shop,Seats - Indoor,30
2002,87 Flinders Lane MELBOURNE 3000,Swiss Rosti Bar,Seats - Indoor,90
2002,"Unit 1, Bmt & Gnd , 107 Flinders Lane MELBOURNE 3000",Bisq Cafeteria,Seats - Indoor,110
2002,"Ground , 133-135 Flinders Lane MELBOURNE 3000",Bite,Seats - Indoor,48
2002,61 Flinders Lane MELBOURNE 3000,Langtons Restaurant,Seats - Outdoor,10
2002,"Part Ground , 63-77 Collins Street MELBOURNE 3000",Cafe Paci,Seats - Outdoor,24
2002,44-54 Spencer Street MELBOURNE 3000,The Jarra Room,Seats - Indoor,80
2002,525 Collins Street MELBOURNE 3000,Observation Deck Cafe/bar,Seats - Indoor,70
2002,"Part Ground , 459 Collins Street MELBOURNE 3000",Cafe Momento,Seats - Indoor,245
2002,"Ground , 417 Collins Street MELBOURNE 3000",Cafe Espresso,Seats - Indoor,70
2002,"Part Level 1, 447-0 Collins Street MELBOURNE 3000",Sodexho,Seats - Indoor,60
2002,447 Collins Street MELBOURNE 3000,The Moat Coffee Shop,Seats - Indoor,40
2002,Rear 333 Collins Street MELBOURNE 3000,Quizeen,Seats - Indoor,140
2002,"Ground , 367 Collins Street MELBOURNE 3000",The Competition Cafe,Seats - Indoor,75
2002,"Part Ground , 379 Collins Street MELBOURNE 3000",Le Croissant Connection,Seats - Outdoor,32
2002,"Basement , 55 Elizabeth Street MELBOURNE 3000",E Fifty Five,Seats - Indoor,88
2002,308 Flinders Lane MELBOURNE 3000,Decoy,Seats - Indoor,50
2002,10 Flinders Lane MELBOURNE 3000,Mango Cafe,Seats - Indoor,40
2002,12 Flinders Lane MELBOURNE 3000,Robot Cafe,Seats - Indoor,40
2002,306 Flinders Lane MELBOURNE 3000,Zest Wraps & Smoothies,Seats - Indoor,42
2002,"Part Level 1, 257-0 Collins Street MELBOURNE 3000",The Hatch Cafe & Bar,Seats - Indoor,190
2002,"Shop 12, Ground , 259 Collins Street MELBOURNE 3000",La Gondola Cafe,Seats - Indoor,30
2002,"Ground , 274 Collins Street MELBOURNE 3000",La Cream Cafe,Seats - Indoor,80
2002,"Part Ground & Mezz , 161 Collins Street MELBOURNE 3000",Hudsons Coffee,Seats - Outdoor,10
2002,"Shop 16, 161 Collins Street MELBOURNE 3000",Shenis Curries,Seats - Indoor,30
2002,"Shop , Ground , 171 Collins Street MELBOURNE 3000",Ponti's Cafe,Seats - Outdoor,14
2002,189 Collins Street MELBOURNE 3000,Box Cafe Restaurant,Seats - Outdoor,10
2002,"Shop 4, 111 Collins Street MELBOURNE 3000",Il Solito Posto,Seats - Indoor,70
2002,"Shop 51, 45 Collins Street MELBOURNE 3000",Cafe 51,Seats - Indoor,45
2002,"Shop 51, 45 Collins Street MELBOURNE 3000",Cafe 51,Seats - Outdoor,21
2002,"Shop 21, 45 Collins Street MELBOURNE 3000",Cafe Great Space,Seats - Outdoor,20
2002,"Shop 61, 45 Collins Street MELBOURNE 3000",Pomegranate Gourmet Food,Seats - Indoor,60
2002,"Shop 52, 45 Collins Street MELBOURNE 3000",Sizzling Spuds,Seats - Indoor,34
2002,"Shop 48, 45 Collins Street MELBOURNE 3000",Vivaldi Restaurant,Seats - Indoor,96
2002,"Shop 1, 600 Collins Street MELBOURNE 3000",Sparkling Cafe,Seats - Indoor,44
2002,"Part Ground , 106-120 Little Collins Street MELBOURNE 3000",In Zone Cafe,Seats - Indoor,44
2002,"Ground , 530 Collins Street MELBOURNE 3000",Cafe Exchange,Seats - Indoor,33
2002,"Part Ground , 470 Collins Street MELBOURNE 3000",McDonald's,Seats - Indoor,60
2002,18 Bank Place MELBOURNE 3000,The Vault Bar & Restaurant,Seats - Indoor,80
2002,"Basement , 8 Bank Place MELBOURNE 3000",La Cantina,Seats - Indoor,85
2002,"Unit 1, Basement , 446-452 Collins Street MELBOURNE 3000",Basement Deli,Seats - Indoor,80
2002,"Unit 2, Ground , 446-452 Collins Street MELBOURNE 3000",Macchiato On Collins,Seats - Indoor,30
2002,"Shop 3, Ground , 440 Collins Street MELBOURNE 3000",Cafe Saba,Seats - Indoor,34
2002,"UprGround , 23 Little Collins Street MELBOURNE 3000",Syracuse,Seats - Indoor,70
2002,"UprGround , 23 Little Collins Street MELBOURNE 3000",Syracuse,Seats - Outdoor,12
2002,"Basement , 105 Queen Street MELBOURNE 3000",Chaise Lounge,Seats - Indoor,88
2002,"Ground , 394 Collins Street MELBOURNE 3000",Gabriel Martin At Treasury,Seats - Indoor,180
2002,Rear 360 Collins Street MELBOURNE 3000,Zuffa,Seats - Indoor,155
2002,Rear 360 Collins Street MELBOURNE 3000,Zuffa,Seats - Outdoor,104
2002,30 Block Place MELBOURNE 3000,Caffe Cortile,Seats - Indoor,48
2002,"Shop 9, 96 Elizabeth Street MELBOURNE 3000",Caffe Duomo,Seats - Outdoor,20
2002,84-86 Elizabeth Street MELBOURNE 3000,Hudsons Coffee,Seats - Indoor,27
